Lat,Lon,Elev,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Clust
33.95,-113.1833,660,0.561,0.426,0.287,0.099,0.039,0.041,0.144,0.232,0.204,0.179,0.336,0.565,1
32.3667,-112.8667,549,0.302,0.217,0.154,0.051,0.018,0.024,0.129,0.237,0.187,0.166,0.246,0.427,1
34.2333,-113.5833,393,0.439,0.327,0.218,0.073,0.03,0.027,0.1,0.167,0.154,0.148,0.271,0.444,1
33.85,-109.15,2454,0,0.306,0.919,0.576,0.131,0.183,0.527,0.704,0.589,0.591,0.722,0.37,2
31.9833,-111.3833,838,0.533,0.357,0.238,0.086,0.035,0.067,0.311,0.395,0.304,0.275,0.355,0.654,1
33.4667,-111.4833,631,0.775,0.527,0.371,0.117,0.042,0.037,0.146,0.233,0.211,0.262,0.499,0.885,1
31.9,-110.25,1124,0.393,0.237,0.147,0.06,0.026,0.087,0.407,0.459,0.275,0.22,0.246,0.464,3
34.5667,-113.1833,1129,0.699,0.542,0.368,0.138,0.075,0.064,0.217,0.309,0.255,0.241,0.451,0.711,1
33.8167,-111.65,503,0.802,0.543,0.377,0.127,0.04,0.033,0.126,0.22,0.209,0.238,0.491,0.869,1
34.6667,-111.7167,1164,1,0.989,0.553,0.222,0.096,0.078,0.281,0.41,0.341,0.378,0.722,0.998,4
36.9,-113.95,571,0.481,0.334,0.214,0.085,0.046,0.025,0.059,0.081,0.094,0.141,0.291,0.388,1
36.6833,-110.5333,2221,0,0.214,0.961,0.501,0.115,0.092,0.212,0.291,0.303,0.412,0.652,0.139,5
31.45,-109.9333,1695,0.543,0.369,0.225,0.09,0.043,0.116,0.447,0.532,0.356,0.261,0.301,0.598,3
33.4833,-109.75,1849,0.986,0.667,0.463,0.193,0.097,0.134,0.425,0.599,0.474,0.48,0.665,0.967,4
33.5833,-109.1667,1652,0.763,0.501,0.319,0.132,0.077,0.113,0.379,0.522,0.436,0.464,0.576,0.862,1
34.6167,-111.1833,2097,1,1,1,0.598,0.135,0.123,0.401,0.551,0.48,0.548,0.899,1,4
33.95,-114.0167,282,0.309,0.207,0.136,0.049,0.019,0.016,0.054,0.101,0.103,0.105,0.194,0.315,1
32.3167,-109.4833,1146,0.476,0.306,0.173,0.065,0.04,0.078,0.274,0.335,,0.298,0.294,0.532,3
36.2167,-112.0667,2560,0,0,0.292,0.979,0.602,0.157,0.339,0.47,0.442,,0.802,0.014,6
33.3833,-112.5833,271,0.369,0.261,0.175,0.053,0.018,0.018,0.077,0.149,0.152,0.148,0.253,0.414,1
35.1333,-114.5667,165,0.228,0.157,0.104,0.034,0.012,0.009,0.036,,0.071,0.074,0.127,0.199,1
35.8833,-111.4,1269,0.471,0.331,0.239,0.12,0.09,0.047,0.114,0.166,0.174,0.226,0.345,0.525,1
31.5667,-110.5333,1527,0.678,0.441,0.268,0.104,0.045,,0.54,0.627,0.451,0.379,0.436,0.819,3
36.15,-109.5333,1710,0.139,0.869,0.251,0.126,0.088,0.062,0.162,0.222,0.223,0.328,0.504,0.397,5
33.8167,-111.9,771,0.854,0.591,0.407,0.142,0.044,0.047,0.178,0.285,0.261,0.275,0.533,0.916,1
32.8833,-111.7167,428,0.411,0.28,0.199,0.063,,0.027,0.12,0.22,0.167,0.19,0.307,0.538,1
33,-111.5333,432,0.484,0.328,0.227,0.071,0.025,0.028,0.129,0.207,0.164,0.199,0.338,0.599,1
32.3167,-110.4167,959,0.543,0.376,0.241,0.085,0.03,0.062,0.296,0.358,0.26,0.251,0.354,0.642,1
33.9833,-112.3667,607,0.685,0.529,0.36,,0.037,0.041,0.156,0.252,0.226,0.213,0.448,0.725,1
33.2,-111.6833,434,0.485,0.332,0.23,0.078,0.03,0.028,0.12,0.185,0.155,0.193,0.339,0.581,1
34.55,-110.9167,2135,0.128,0.92,1,0.723,0.152,0.132,0.415,0.573,0.493,0.565,0.878,0.933,2
34.35,-111.7,808,1,0.911,0.503,,0.068,0.064,0.227,0.364,0.305,0.314,0.64,0.987,4
34.75,-112.45,1448,,0.591,0.388,0.164,0.143,0.099,0.298,0.397,0.301,0.292,0.524,0.734,1
32,-109.35,1615,0.635,0.389,0.243,0.097,0.06,0.127,0.418,0.501,0.379,0.347,0.379,0.722,3
33.05,-109.3,1073,0.552,0.362,0.233,0.079,0.042,0.075,0.27,0.351,0.302,0.319,0.367,0.626,1
37,-112.9667,1527,1,1,0.81,0.274,0.139,0.084,0.156,0.238,0.232,0.338,0.722,0.994,4
34.3,-112.1667,1149,1,0.95,0.538,0.203,0.07,0.081,0.3,0.437,0.359,0.353,0.702,0.995,4
31.35,-110.25,1598,0.655,0.452,0.257,0.11,0.055,0.158,0.59,0.691,0.481,0.35,0.369,0.738,3
34.2167,-112.35,1804,1,1,1,0.587,0.135,0.152,0.516,0.706,0.558,0.534,0.912,1,4
32.9667,-113.5,158,0.244,0.164,0.105,0.034,0.012,0.012,0.062,0.11,0.113,0.102,0.159,0.279,1
33.5833,-112.0833,383,0.43,0.312,0.218,0.065,0.024,0.024,0.093,0.154,0.16,0.173,0.289,0.474,1
31.4667,-109.6,1249,0.431,0.243,0.14,0.05,0.036,0.11,0.434,0.481,0.318,0.242,0.264,0.477,3
32.75,-109.1167,1116,0.475,0.313,0.175,0.059,0.035,0.077,0.262,0.321,0.293,0.303,0.299,0.521,3
33.6167,-114.4667,142,0.246,0.149,0.094,0.038,0.014,0.013,0.039,0.087,0.084,0.082,0.138,0.248,1
32.7833,-111.5167,471,0.462,0.31,0.217,0.07,0.025,0.03,0.144,0.237,0.187,0.208,0.325,0.584,1
35.1667,-111.7333,2172,0.066,0.52,0.998,0.96,0.4,0.198,0.457,0.571,0.535,0.623,0.967,0.846,2
35.1333,-111.6667,2134,0.089,0.683,1,0.927,0.316,0.183,0.436,0.543,0.522,0.624,0.966,0.938,2
33.0333,-111.4,459,0.54,0.36,0.251,0.075,0.029,0.03,0.134,0.213,0.177,0.217,0.358,0.651,1
33.0167,-110,853,0.567,0.387,0.255,0.085,0.039,0.059,0.225,0.294,0.249,0.272,0.354,0.656,1
35.2667,-111.75,2239,0.065,0.05,0.67,0.987,0.758,0.271,0.511,0.634,0.588,0.661,0.972,0.341,6
33.6,-111.7167,480,0.616,0.438,0.31,0.098,0.032,0.032,0.117,0.191,0.184,0.223,0.428,0.735,1
35.7167,-109.5667,1932,0.076,0.938,0.369,0.14,0.093,0.077,0.199,0.272,0.258,0.35,0.523,0.375,5
32.95,-112.7167,224,0.27,0.181,0.121,0.041,0.017,0.015,0.083,0.145,0.112,0.115,0.2,0.333,1
33.3833,-110.7667,1112,1,0.914,0.483,0.155,0.06,0.067,0.273,0.425,0.31,0.36,0.607,0.988,4
36.05,-112.15,2068,0.115,0.92,1,0.403,0.195,0.124,0.258,0.357,0.334,0.442,0.716,0.689,2
34,-109.4667,2588,0,0.182,0.837,0.937,0.182,0.194,0.548,0.738,0.597,0.591,0.781,0.309,2
34.75,-111.4167,2280,0.307,0.855,0.993,0.834,0.272,0.19,0.47,0.613,0.55,0.631,0.964,1,2
34.4,-110.55,2009,0.736,0.997,0.749,0.251,0.111,0.123,0.381,0.542,0.454,0.507,0.772,0.998,4
34.4667,-112.8833,1012,0.654,0.531,0.347,0.126,0.067,0.056,0.195,0.285,0.238,0.218,0.442,0.67,1
34.9167,-110.15,1550,0.429,0.316,0.196,0.09,0.058,0.047,0.158,0.246,0.242,0.287,0.369,0.487,3
34.75,-112.1167,1509,1,1,0.731,0.268,0.145,0.117,0.409,0.543,0.413,0.442,0.808,1,4
35.8167,-110.2,1891,0.051,0.919,0.419,0.147,0.088,0.069,0.183,0.253,0.252,0.331,0.504,0.36,5
35.2,-114.0167,1079,0.577,0.411,0.269,0.112,0.043,0.038,0.115,0.175,0.149,0.173,0.326,0.535,1
31.9667,-111.6,2069,1,1,0.797,0.242,0.11,0.222,0.813,0.99,0.722,0.608,0.761,1,4
35.55,-109.7,1981,0.012,0.815,0.494,0.144,0.096,0.085,0.224,0.305,0.284,0.369,0.516,0.319,5
33.2667,-113.9667,541,0.383,0.265,0.182,0.077,0.032,0.03,0.096,0.158,0.144,0.138,0.241,0.414,1
33.3333,-112.15,346,0.359,0.248,0.172,0.053,0.018,0.018,0.08,0.14,0.134,0.148,0.25,0.393,1
36.8667,-111.6,978,0.451,0.286,0.189,0.093,0.055,0.032,0.077,0.12,0.122,0.18,0.298,0.436,1
33.5,-112.3667,314,0.356,0.263,0.169,0.048,0.017,0.018,0.077,0.141,0.145,0.145,0.226,0.337,1
36.4167,-109.2333,1987,0,0.599,0.975,0.241,0.122,0.095,0.228,0.295,0.299,0.437,0.66,0.309,5
33.1167,-112.0333,354,0.373,0.251,0.175,0.059,0.019,0.02,0.099,0.173,0.143,0.157,0.269,0.443,1
34.1167,-109.85,2237,0.395,0.94,0.591,0.207,0.116,0.145,0.444,0.623,0.501,0.503,0.671,0.824,5
33.4167,-111.8167,376,0.431,0.309,0.212,0.069,0.024,0.021,0.096,0.147,0.149,0.177,0.307,0.533,1
33.4,-110.8667,1085,1,0.982,0.523,0.16,0.054,0.057,0.241,0.397,0.292,0.337,0.626,0.995,4
34.6167,-111.8333,969,1,0.78,0.478,0.191,0.089,0.073,0.251,0.373,0.31,0.333,0.643,0.982,4
36.9833,-110.1167,1696,0.004,0.831,0.53,0.14,0.093,0.066,0.148,0.197,0.223,0.355,0.538,0.332,5
33.55,-111.45,520,0.839,0.556,0.388,0.125,0.043,0.035,0.136,0.23,0.216,0.271,0.522,0.922,1
34.9333,-111.6333,1972,1,1,1,0.716,0.164,0.11,0.376,0.5,0.458,0.542,0.92,1,4
31.45,-110.9667,1085,0.561,0.373,0.249,0.076,0.037,0.11,0.524,0.56,0.4,0.342,0.377,0.74,3
34.9667,-111.75,1547,1,1,0.76,0.268,0.115,0.075,0.265,0.364,0.332,0.391,0.773,1,4
32.6,-110.7333,1375,1,0.877,0.489,0.177,0.063,0.075,0.332,0.458,0.389,0.419,0.657,0.99,4
31.95,-112.8,511,0.317,0.206,0.146,0.051,0.019,0.031,0.152,0.251,0.217,0.193,0.254,0.461,1
36.9167,-111.45,1301,0.502,0.317,0.215,0.115,0.067,0.046,0.11,0.163,0.158,0.229,0.37,0.511,1
34.15,-114.2833,128,0.273,0.177,0.111,0.04,0.013,0.009,0.037,0.075,0.082,0.091,0.166,0.276,1
34.2333,-111.3333,1497,1,1,0.989,0.341,0.106,0.11,0.371,0.545,0.457,0.517,0.844,1,4
31.9333,-109.8333,1326,0.499,0.298,0.179,0.066,0.038,0.098,0.378,0.442,0.298,0.27,0.282,0.537,3
34.8,-109.8833,1660,0.424,0.294,0.207,0.102,0.068,0.067,0.204,0.298,0.279,0.318,0.368,0.464,3
36.1,-112.1,783,0.589,0.42,0.288,0.129,0.097,0.048,0.088,0.136,0.135,0.186,0.328,0.534,1
33.4333,-112,337,0.391,0.278,0.192,0.061,0.023,0.021,0.091,0.145,0.146,0.16,0.271,0.446,1
32.65,-111.4,558,0.498,0.338,0.229,0.077,0.03,0.039,0.179,0.27,0.216,0.238,0.345,0.616,1
36.8667,-112.7333,1500,1,1,0.81,0.267,0.139,0.085,0.163,0.252,0.244,0.352,0.726,0.995,4
34.1,-110.9333,1539,1,1,0.923,0.274,0.098,0.105,0.362,0.531,0.435,0.502,0.812,1,4
31.8833,-109.2,1643,0.668,0.422,0.265,0.1,0.061,0.134,0.442,0.526,0.405,0.364,0.413,0.778,3
34.5667,-112.4333,1586,1,0.878,0.504,0.202,0.1,0.107,0.383,0.515,0.394,0.369,0.67,0.978,4
33.8833,-111.3167,719,1,0.842,0.479,0.165,0.054,0.046,0.182,0.305,0.27,0.316,0.621,0.984,4
33.6667,-114.2333,267,0.311,0.207,0.137,0.054,0.02,0.016,0.06,0.114,0.107,0.106,0.195,0.33,1
33.6667,-111.15,672,1,0.986,0.539,0.162,0.062,0.056,0.218,0.348,0.303,0.369,0.678,0.997,4
32.3167,-110.8167,805,0.594,0.405,0.272,0.1,0.035,0.052,0.253,0.33,0.267,0.263,0.387,0.675,1
33.0833,-111.7333,392,0.456,0.314,0.213,0.07,0.025,0.028,0.12,0.191,0.145,0.18,0.308,0.525,1
32.8167,-109.6833,900,0.464,0.317,0.187,0.065,0.033,0.058,0.217,0.268,0.238,0.252,0.292,0.538,3
34.5167,-109.4,1765,0.498,0.314,0.24,0.115,0.073,0.089,0.267,0.363,0.321,0.36,0.387,0.513,3
33.1833,-110.5333,772,0.779,0.513,0.354,0.111,0.042,0.044,0.201,0.306,0.241,0.287,0.466,0.876,1
35.2167,-109.3167,1784,0.397,0.484,0.243,0.116,0.072,0.075,0.214,0.295,0.267,0.346,0.447,0.557,3
32.2667,-109.2333,1100,0.438,0.272,0.15,0.05,0.033,0.071,0.252,0.306,0.27,0.298,0.279,0.509,3
31.7667,-110.85,1311,0.703,0.475,0.305,0.113,0.049,0.117,0.509,0.583,0.421,0.375,0.464,0.85,3
31.4833,-111.55,1094,0.567,0.386,0.269,0.099,0.045,0.103,0.448,0.533,0.382,0.312,0.378,0.727,3
34.8667,-111.7667,1286,1,0.949,0.552,0.238,0.109,0.073,0.258,0.366,0.312,0.36,0.708,0.995,4
35.3333,-112.8833,1600,0.698,0.511,0.353,0.146,0.113,0.082,0.224,0.296,0.238,0.245,0.454,0.691,1
34.2667,-110,1954,0.838,0.578,0.41,0.185,0.103,0.121,0.371,0.533,0.435,0.46,0.613,0.879,1
31.55,-110.2833,1402,0.496,0.324,0.196,0.074,0.035,0.112,0.495,0.571,0.378,0.282,0.296,0.581,3
34.5,-110.0833,1720,0.599,0.399,0.293,0.138,0.086,0.088,0.277,0.408,0.353,0.388,0.479,0.652,3
33.3833,-112.0667,352,0.386,0.268,0.189,0.056,0.018,0.02,0.092,0.153,0.148,0.16,0.269,0.433,1
34.1333,-109.2833,2152,0.137,0.819,0.288,0.125,0.09,0.134,0.412,0.57,0.46,0.441,0.507,0.477,5
33.55,-111.5333,433,0.707,0.486,0.342,0.108,0.037,0.029,0.121,0.2,0.191,0.24,0.47,0.82,1
35.3667,-111.55,2127,0.052,0.136,0.872,0.94,0.565,0.227,0.45,0.549,0.53,0.612,0.945,0.36,2
33.3,-111.1,872,1,0.973,0.519,0.158,0.053,0.056,0.235,0.382,0.298,0.339,0.653,0.997,4
32.7167,-113.9167,99,0.204,0.133,0.081,0.025,0.007,0.01,0.047,0.08,0.105,0.099,0.132,0.235,1
36.9167,-109.0833,1612,0.03,0.914,0.553,0.165,0.101,0.068,0.158,0.209,0.236,0.416,0.598,0.435,5
33.4167,-111.9333,357,0.4,0.281,0.2,0.063,0.023,0.021,0.095,0.146,0.148,0.169,0.288,0.48,1
